icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
N05.1,Unspecified nephritic syndrome with focal and segmental glomerular lesions,211,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Glomerular diseases (N00-N08),Unspecified nephritic syndrome
F15.99,"Other stimulant use, unspecified with unspecified stimulant-induced disorder (CMS code)",211,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental and behavioral disorders due to psychoactive substance use (F10-F19),Other stimulant related disorders
M48.50XA,"Collapsed vertebra, not elsewhere classified, site unspecified, initial encounter for fracture (CMS code)",211,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Other spondylopathies
K63.0,Abscess of intestine,211,infection_abdominal,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Other diseases of intestine
S72.91XA,"Unspecified fracture of right femur, initial encounter for closed fracture (CMS code)",210,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the hip and thigh (S70-S79),Fracture of femur
J45.40,"Moderate persistent asthma, uncomplicated",210,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Chronic lower respiratory diseases (J40-J47),Asthma
T80.212A,"Local infection due to central venous catheter, initial encounter",210,infection_other,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications following infusion, transfusion and therapeutic injection"
S81.011A,"Laceration without foreign body, right knee, initial encounter",210,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),Open wound of knee and lower leg
B01.9,Varicella without complication,210,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Viral infections characterized by skin and mucous membrane lesions (B00-B09),Varicella [chickenpox]
H02.401,Unspecified ptosis of right eyelid,210,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of eyelid, lacrimal system and orbit (H00-H05)",Other disorders of eyelid
G40.401,Epileptic grand mal status (CMS code),210,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Epilepsy and recurrent seizures
J12.3,Human metapneumovirus pneumonia,210,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Influenza and pneumonia (J09-J18),"Viral pneumonia, not elsewhere classified"
I34.81,Nonrheumatic mitral (valve) annulus calcification,210,,ICD-10-CM,,,
Z60.3,Acculturation difficulty,209,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to socioeconomic and psychosocial circumstances (Z55-Z65),Problems related to social environment
Z04.1,Encounter for examination and observation following transport accident,209,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons encountering health services for examinations (Z00-Z13),Encounter for examination and observation for other reasons
M40.209,"Unspecified kyphosis, site unspecified",209,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Deforming dorsopathies (M40-M43),Kyphosis and lordosis
F64.9,"Gender identity disorder, unspecified",208,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Disorders of adult personality and behavior (F60-F69),Gender identity disorders
I71.02,Dissection of abdominal aorta (CMS code),208,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of arteries, arterioles and capillaries (I70-I79)",Aortic aneurysm and dissection
G47.34,Idiopathic sleep related nonobstructive alveolar hypoventilation,208,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Sleep disorders
S72.92XA,"Femur fracture, left (CMS code)",208,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the hip and thigh (S70-S79),Fracture of femur
H40.1190,"Primary open-angle glaucoma, unspecified eye, stage unspecified",208,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Glaucoma (H40-H42),Glaucoma
Y93.66,"Activity, soccer",208,,ICD-10-CM,External causes of morbidity (V00-Y99),Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99),Activity codes
K11.8,Other diseases of salivary glands,208,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of oral cavity and salivary glands (K00-K14),Diseases of salivary glands
I46.8,Cardiac arrest due to other underlying condition (CMS code),208,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Cardiac arrest
N32.9,"Bladder disorder, unspecified",208,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Other diseases of the urinary system (N30-N39),Other disorders of bladder
L03.313,Cellulitis of chest wall,207,infection_skin,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),Cellulitis and acute lymphangitis
I37.1,Nonrheumatic pulmonary valve insufficiency,207,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Nonrheumatic pulmonary valve disorders
D59.10,"Autoimmune hemolytic anemia, unspecified (CMS code)",207,,ICD-10-CM,,,
T36.95XA,"Adverse effect of unspecified systemic antibiotic, initial encounter",207,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of systemic antibiotics"
L72.0,Epidermal cyst,207,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Disorders of skin appendages (L60-L75),Follicular cysts of skin and subcutaneous tissue
Z68.44,"Body mass index (BMI) 60.0-69.9, adult (CMS code)",207,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Body mass index [BMI] (Z68),Body mass index [BMI]
R29.700,Nihss score 0,207,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),Other symptoms and signs involving the nervous and musculoskeletal systems
D89.89,"Other specified disorders involving the immune mechanism, not elsewhere classified",207,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Certain disorders involving the immune mechanism (D80-D89),"Other disorders involving the immune mechanism, not elsewhere classified"
M62.50,"Muscular wasting and disuse atrophy, not elsewhere classified",207,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Disorders of muscles (M60-M63),Other disorders of muscle
L03.039,"Cellulitis and abscess of toe, unspecified",207,infection_skin,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),Cellulitis and acute lymphangitis
W50.3XXA,"Accidental bite by another person, initial encounter",206,,ICD-10-CM,External causes of morbidity (V00-Y99),Exposure to animate mechanical forces (W50-W64),"Accidental hit, strike, kick, twist, bite or scratch by another person"
F16.10,"Hallucinogen abuse, uncomplicated (CMS code)",206,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental and behavioral disorders due to psychoactive substance use (F10-F19),Hallucinogen related disorders
R29.703,Nihss score 3,206,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),Other symptoms and signs involving the nervous and musculoskeletal systems
I70.202,"Unspecified atherosclerosis of native arteries of extremities, left leg",206,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of arteries, arterioles and capillaries (I70-I79)",Atherosclerosis
I66.9,Occlusion and stenosis of unspecified cerebral artery,205,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
Z95.9,"Presence of cardiac and vascular implant and graft, unspecified",205,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Presence of cardiac and vascular implants and grafts
Y92.002,Bathroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause,205,,ICD-10-CM,External causes of morbidity (V00-Y99),Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99),Place of occurrence of the external cause
J21.0,Acute bronchiolitis due to respiratory syncytial virus,205,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other acute lower respiratory infections (J20-J22),Acute bronchiolitis
S86.011A,"Strain of right Achilles tendon, initial encounter",205,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),"Injury of muscle, fascia and tendon at lower leg level"
D68.2,Hereditary deficiency of other clotting factors (CMS code),205,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Coagulation defects, purpura and other hemorrhagic conditions (D65-D69)",Other coagulation defects
M86.18,"Other acute osteomyelitis, other site (CMS code)",204,infection_other,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other osteopathies (M86-M90),Osteomyelitis
C34.10,"Malignant neoplasm of upper lobe, bronchus or lung",204,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),Malignant neoplasm of bronchus and lung
F43.23,Adjustment disorder with mixed anxiety and depressed mood,204,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)","Reaction to severe stress, and adjustment disorders"
